词,频次,主题,例句
考古,117,其他,papi酱的春晚预测: 奥米克荣时代考古; papi酱的春晚预测: 2025年6月前来考古，这几年都这样; papi酱的春晚预测: 2021过来考古，哎！要疯了啊啊啊啊啊都是流量看个鬼; papi酱的春晚预测: 考古好好玩; papi酱的春晚预测: 2025年前来考古; papi酱的春晚预测: 2027春晚考古; papi酱的春晚预测: 2023前来考古; papi酱的春晚预测: 2024年1月25日21:53:23前来考古; papi酱的春晚预测: 2023年11月27考古; papi酱的春晚预测: 2022年考古; papi酱的春晚预测: 2023春晚考古
上,105,其他,2024春晚小品押题《三胎》: 盲猜结尾怀上了; 有烂梗的春晚才叫过年呐: 不行，这个礼物没有送到她都心趴上; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 春晚节目六月就送上去审核了，这波押中的可能性不大; 我想看这样的春晚: 天哪，上春山都一年了。; 我想看这样的春晚: 禹宙中欣给我上！！！！！！！！; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 啥也别说了，赶紧上饺子吧; 求求各位，不要再押题春晚小品了……: 还不如就把这些都用上，观众看个开心，反而不尬了; 8秒看完2025年春晚: 全赶上了; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这口才不上春晚可惜了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 上价值
照相馆,104,春晚内容相关,无偿送给今年的春晚导演组: 初见照相馆，又见照相馆，再见照相馆，回家丶照相馆; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 又见照相馆; 求求各位，不要再押题春晚小品了……: 但是初见照相馆。。。; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 再见照相馆; 求求各位，不要再押题春晚小品了……: 出生照相馆; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 初生照相馆; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 又双叒叕照相馆; 无偿送给今年的春晚导演组: 再见照相馆h; 无偿送给今年的春晚导演组: 续集不是叫《畜牲照相馆》吗; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 要说尬的还真不如照相馆，这虽然玩烂梗，但起码还看得下去
支持,100,情感与互动,我想看这样的春晚: 我支持啊啊啊啊啊啊啊啊啊啊，我们宇宙中心; 我想看这样的春晚: 这个我支持; 《2025年蛇年春晚烂梗小品精选》: 除帮助外的一切支持; 我想看这样的春晚: 啊啊啊啊啊啊支持支持豹豹猫猫！！！; 我想看这样的春晚: 支持TFBOYS合体！！！; 我想看这样的春晚: 支持！！！！！！！！！！！！！！！; 我想看这样的春晚: 许嵩是吧，支持; 我想看这样的春晚: 支持给王妈团队留一桌; 求求各位，不要再押题春晚小品了……: 支持，改了还不如原来那几个有意思; 我想看这样的春晚: 支持支持
到,98,年度与时间,二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 已经看到结局了哈哈; 你觉得今年春晚最有可能出现哪些梗？: 看不到弹幕; papi酱的春晚预测: 欢迎来到经 典 款直播间; 我想看这样的春晚: 看到这里立刻蹦起来投了两个币啊啊啊啊啊啊啊啊啊啊啊啊啊！！！; 2024春晚小品押题《三胎》: 好笑吗不是所有人怀的都是圆的，我的亲戚怀的就是尖的我每次看都会被吓到; 《2025年蛇年春晚烂梗小品精选》: 过年投屏到电视上看; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 王宁的表演一直很。。。特别是欢乐喜剧人的东西看到就想。。。。; 有烂梗的春晚才叫过年呐: 三国杀干到，快去刷好评; 8秒看完2025年春晚: 刚到大学赶上了科派诺毁内脏蛋白粉
2024,98,年度与时间,papi酱的春晚预测: 2024年了，再来一遍; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 2024来嗑一口; papi酱的春晚预测: 2024也这样; papi酱的春晚预测: 2024霍主任进papi演播室考古; papi酱的春晚预测: 2024年继续用; papi酱的春晚预测: 2024又来一遍; papi酱的春晚预测: 2024来回顾 时间过得真快; papi酱的春晚预测: 2024我来了; papi酱的春晚预测: 2024年1月2日
梗,97,春晚内容相关,无偿送给今年的春晚导演组: 硬套热梗也太像了哈哈哈; 2024春晚小品押题《三胎》: 喜欢玩烂梗？; 《2025年蛇年春晚烂梗小品精选》: 完蛋了，每一个梗我都知道; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 这句太流行了，春晚没这么新的梗; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 玩梗高手; 《2025年蛇年春晚烂梗小品精选》: 梗乱入; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 这个梗应该不会采用吧; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 这梗不会有; 《2025年蛇年春晚烂梗小品精选》: 细节梗鬼
笑死,97,情感与互动,无偿送给今年的春晚导演组: 笑死啦; 2024春晚小品押题《三胎》: 一直都没笑，直到弹幕有人说“二战转折点”，我tm笑死了好哈哈哈哈哈哈哈哈哈哈; 无偿送给今年的春晚导演组: 哈哈哈笑死我了; 2025年春晚押题小品之《再见老登》: 这梗也太密 笑死我了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 哈哈哈哈笑死，提前看完春晚; 你觉得今年春晚最有可能出现哪些梗？: 四六级耳机 笑死; 2024春晚小品押题《三胎》: 哈哈哈笑死了，你居然是假孕; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 笑死了; 2024春晚小品押题《三胎》: 怎么觉得看过 笑死了
逆天,95,吐槽与负面情绪,无偿送给今年的春晚导演组: 逆天了; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 逆天哈哈哈哈哈哈哈; 无偿送给今年的春晚导演组: 最逆天小品; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 逆天了哈哈哈; 2025年春晚押题小品之《再见老登》: 逆天; 2025春晚小品预测，这届网友太有才了: 逆天; 无偿送给今年的春晚导演组: 哈哈哈哈哈哈哈哈逆天; 无偿送给今年的春晚导演组: 就你吗逆天; 《2025年蛇年春晚烂梗小品精选》: 逆天谢帝
个,92,其他,【旧曲新歌奥密克戎】2022春晚押题相声: up是个狠人的; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 虽然看了，但除了这个坑其它的完全没有记忆点。说他是小品不好找，说他是话剧没有深度。就等于几个演员台上尬演，今年我可能真不看了; 我想看这样的春晚: 我了个逗，我才发现没关注; 2024春晚小品押题《三胎》: 这个是真的有点儿好笑; 我想看这样的春晚: 那三个！！狂落泪！是TFBOYS吗！; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 前面那个看不懂的，多大啦？; 2024春晚小品押题《三胎》: 六个哪儿来的？; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 我嘞个爆豆; 《2025年蛇年春晚烂梗小品精选》: 完蛋了，每一个梗我都知道
包饺子,92,春晚内容相关,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 包饺子; 2024春晚小品押题《三胎》: 盲猜结尾真的怀上了，大家一起包饺子; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 好了区up主+包饺子区up主; 2025年春晚押题小品之《再见老登》: 包饺子; 2024春晚小品押题《三胎》: 《包饺子的小曲》; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 什么你为什么要警察局包饺子; 2024春晚小品押题《三胎》: 省流：包饺子; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 包饺子; 2024春晚小品押题《三胎》: 省流:包饺子
让,90,其他,二进制小品: 千万不要让外国人看见。; 2024春晚小品押题《三胎》: 平常要脚趾扣地就算了，过年的都不让我的脚趾休息休息，救命; 【旧曲新歌奥密克戎】2022春晚押题相声: 有一说一，让他俩旧曲新歌也比某些节目要好; 二进制小品: 可恶，我们班就有个人外号叫饺子，你让我以后怎么正视她？; 2025春晚小品预测，这届网友太有才了: 我说过话，那春晚就应该是粗的带一点俗，但不是不文明的而是有限度的，能让人开怀笑的，现在是什么年终奖晚会吗？; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 你这样怎还让春晚怎么活; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 我怀疑你俩就为了让对方笑场哈哈哈哈哈哈; 无偿送给今年的春晚导演组: 高手！开局五秒让我尬住; 2024春晚小品押题《三胎》: 孕育一个孩子是为了让他孝敬自己?有没有想过孩子愿不愿意。
想,84,其他,papi酱的春晚预测: 这个节目是以后不想混了？; 我想看这样的春晚: 卧槽啊啊啊啊这个我想看; 2025年春晚押题小品之《再见老登》: 好啦！！！我这么做，只是想多跟你们说句话呀; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 优衣库的念想可不兴说啊; papi酱的春晚预测: 我的天呐，我以为是拍段子，没想到是2017年; 无偿送给今年的春晚导演组: 哭得想死; 2025春晚小品预测，这届网友太有才了: 自己都养不活，还想我拖家带口; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 我觉得想宫野真守
还有,84,其他,2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 还有call back哈哈哈; 【旧曲新歌奥密克戎】2022春晚押题相声: 老胡还有这手呢爱了爱了; 2025春晚小品预测，这届网友太有才了: 去年的科目三谁还有人记得吗？; 2024春晚小品押题《三胎》: 还有小丽啊; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 还有:狂躁; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 还有舍得酒广告; 无偿送给今年的春晚导演组: 我的妈还有意外收获！; 我想看这样的春晚: 还有斌斌
6,81,年度与时间,papi酱的春晚预测: 这个在2023年套模板和神州十五肩并肩，6; papi酱的春晚预测: 2023考古（都6年啦……; 2024春晚小品押题《三胎》: 一分钟过去后代表时间走过了60秒; 【旧曲新歌奥密克戎】2022春晚押题相声: 距离春晚还有6天; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 666 点题了; 【旧曲新歌奥密克戎】2022春晚押题相声: 1234567; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 所有菜加一起68不贵啊; 2024春晚小品押题《三胎》: 6啊
感觉,80,情感与互动,papi酱的春晚预测: 我感觉不是嘲讽吧 里面的都是春晚老人了; 2024春晚小品押题《三胎》: 6，太6了，感觉被裹了小脑; papi酱的春晚预测: 俄罗斯人应该会感觉不舒服吧，别拿有名望的人乱玩。。。。。。。; 2024春晚小品押题《三胎》: 哈？？？离谱，突然感觉我数学不好; 2024春晚小品押题《三胎》: 看着好恐怖 剧情有种恐怖谷的感觉; 求求各位，不要再押题春晚小品了……: 去年晚上看小品，确实感觉像听邻居吵了一晚上架; papi酱的春晚预测: 讲真我还是蛮喜欢冯巩的。也见过本尊，感觉就一言难尽; 2024春晚小品押题《三胎》: 看完感觉脑子被抢建了
开始,80,其他,2024春晚小品押题《三胎》: 已经开始玩王者荣耀了; 我想看这样的春晚: 我光听着就已经开始乐了; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 已经开始尴尬了; 2024春晚小品押题《三胎》: 开始煽情; papi酱的春晚预测: 已经开始尬了哈哈哈哈哈; 求求各位，不要再押题春晚小品了……: 没错首先它，2022年。他包了饺子。迫于压力他在2023年换成了包团子。今年他就要开始打年糕了。(〜￣▽￣)〜; 2024春晚小品押题《三胎》: 血压开始上来了; 《2025年蛇年春晚烂梗小品精选》: 开局押韵起手已经开始恶心了
又,79,其他,2025春晚小品预测，这届网友太有才了: 懒婆娘的裹脚布又长又臭; 2024春晚小品押题《三胎》: 又不是养不起，只是有钱不敢花; 无偿送给今年的春晚导演组: 初见照相馆，又见照相馆，再见照相馆，回家丶照相馆; 2024春晚小品押题《三胎》: 又不是养不起，指白米饭管饱; 无偿送给今年的春晚导演组: 又尬又好笑; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 又双叒叕照相馆; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 《又见照相馆》
比,74,情感与互动,papi酱的春晚预测: 这可比春晚有意思哈哈哈哈; 求求各位，不要再押题春晚小品了……: 比起一部分人被折磨，所有人都被折磨不更好; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 原版比这好看多了真的; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 比春晚幽默; 【旧曲新歌奥密克戎】2022春晚押题相声: 有一说一，让他俩旧曲新歌也比某些节目要好; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这几个人长的比说的好笑; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 罗南：你俩比星爵还尬知道么
懂,74,情感与互动,二进制小品: 为什么听懂了; 二进制小品: 懂了懂了; 二进制小品: 谁懂啊，看明白了; 《2025年蛇年春晚烂梗小品精选》: 全听懂是不是没救了; 《2025年蛇年春晚烂梗小品精选》: 一个也听不懂; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 看不懂的回小学学语文，总价和单价; 2025年春晚押题小品之《再见老登》: 听懂掌声
饺,72,春晚内容相关,二进制小品: 可恶，我们班就有个人外号叫饺子，你让我以后怎么正视她？; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 我滴天呐 我还得再听十分钟包饺砸！; papi酱的春晚预测: 包饺子啦～; 8秒看完2025年春晚: 饺子饺子饺饺子; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 吃不下了，真吃不下饺子了; 2024春晚小品押题《三胎》: 饺子，饺子饺子，饺饺子; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 包饺子咯
挺,71,情感与互动,【旧曲新歌奥密克戎】2022春晚押题相声: 词挺好，唱得确实跟专业的没法比; 2024春晚小品押题《三胎》: 数学挺好; papi酱的春晚预测: 本来挺喜欢papi酱的; 【旧曲新歌奥密克戎】2022春晚押题相声: 哎 挺伤感的 当年春晚的节目多棒啊; 2025年春晚押题小品之《再见老登》: 挺好笑的; 《2025年蛇年春晚烂梗小品精选》: 挺有意思的，至少我笑了一下; 2024春晚小品押题《三胎》: 我还挺想看的
好笑,68,情感与互动,有烂梗的春晚才叫过年呐: 不行了，这个比原来的三折叠还好笑。; 2024春晚小品押题《三胎》: 居然有点好笑; papi酱的春晚预测: 这句还真特么有点好笑啊啊啊啊啊啊; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 真的好笑; 2024春晚小品押题《三胎》: 还挺好笑哈哈哈; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 有个频道李宗恒也上了 真的好笑 和他视频创作风格
能,68,其他,有烂梗的春晚才叫过年呐: 这也能蒸？; 求求各位，不要再押题春晚小品了……: 好的，我一看就知道这个题材也不能用了; 二进制小品: 只有中国人能看懂; papi酱的春晚预测: 有没有可能，预言对了是因为导演也看这个视频了; 二模卷成功押中春晚真题  看看是怎么个事儿2024春晚小品押题二模卷《小土豆与锅包肉》: 没有科目三怎么能完美呢; 2024春晚小品押题《三胎》: 你自己不能照顾自己啊？生孩子就是带着目的来照顾你，真是无语
生,67,其他,8秒看完2025年春晚: 饺子生孩子; 2025春晚小品预测，这届网友太有才了: 现在干什么，人都特别多，还要生; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 哈哈哈哈在生孩子之前; 史上最尬！逆天吐槽2023兔年春晚，语言类节目实至名归！: 这也算反映现实贴近生活了; 2024春晚小品押题《三胎》: 独生子：So？; 2024春晚小品押题《三胎》: 生三胎怎么够呢，生个五胎吧，给三个娃减减负
味儿,66,春晚内容相关,2024春晚小品押题《三胎》: 这尬味儿拿捏太到位了！！; 2024春晚小品饱和式押题第一季！饺砸一次包个够~~: 每年都有这个味儿，求别来了; 2024春晚小品押题《三胎》: 太对味儿了; 2024春晚小品押题《三胎》: 太有内味儿了; 【旧曲新歌奥密克戎】2022春晚押题相声: 换个会唱大鼓的就有味儿了; 【旧曲新歌奥密克戎】2022春晚押题相声: 对味儿了
前来,66,情感与互动,二进制小品: 2024前来穿越; papi酱的春晚预测: 2024年春晚前来报道; papi酱的春晚预测: 奥密克戎时代前来考古; papi酱的春晚预测: 2023前来预测哈哈哈哈哈哈哈哈哈; papi酱的春晚预测: 2023年距离春节还有2天前来打卡; papi酱的春晚预测: 2020/12/31前来打卡！
多,65,其他,2024春晚小品押题《三胎》: 养的起，这家是多有钱啊; 2025春晚小品预测，这届网友太有才了: 多少年不看春晚了。; 有烂梗的春晚才叫过年呐: 不知道很正常，今年野梗流水线梗特别多; 【旧曲新歌奥密克戎】2022春晚押题相声: 留给胡基森的时间不多了; 无偿送给今年的春晚导演组: 哈哈哈哈哈哈哈尿素过多; 2024春晚小品押题《三胎》: 多说家庭是养不起的
